A_lat,A_long,A_locality,B_lat,B_long,B_locality,month,weekday,hour,car_distance,pt_distance,car_time,pt_time
45.501508473282584,9.204288598395067,Maciachini - Maggiolina,45.464735234780434,9.132969332319007,Bande Nere,December,Friday,3,8997,9611,1167,6160
45.49249074189183,9.23667000534523,Rottole,45.51595714966065,9.198155651895828,Prato Centenaro,May,Sunday,6,6503,10300,964,3065
45.433346106472676,9.170955964181312,Stadera,45.50066791331585,9.161902406246478,Bovisa,February,Sunday,5,10743,10343,1373,5407
45.43222216283238,9.194368323444934,Ripamonti,45.44201803483795,9.255638118180197,Mecenate,March,Monday,3,10616,10436,816,7042
45.501379917100415,9.215086175692212,Greco,45.48704761147218,9.213494918476146,Loreto,November,Friday,7,2452,3599,443,1733
45.47302265184432,9.21905656199926,Città Studi,45.42280236403809,9.194232682554693,Parco delle Abbazie,August,Thursday,9,8143,8385,1333,4315
45.504937717628955,9.22083367182643,Gorla,45.47060643220578,9.195957249068504,Duomo,May,Tuesday,21,6542,5358,1140,1973
45.45556158322599,9.136511774347657,Arzaga,45.482987277289645,9.15994179327487,Portello,October,Friday,15,4852,8077,946,2523
45.46386723950889,9.18172919409956,Duomo,45.464311830925986,9.123586434085556,Forze Armate,June,Sunday,10,5434,6361,947,2266
45.43158681076186,9.231092903072689,Nosedo,45.45246185306343,9.249340635306876,Taliedo,June,Tuesday,5,6938,8337,584,4919
45.48611583079294,9.22288693572195,Casoretto,45.446400804660705,9.160706660628962,Zona Navigli,August,Thursday,1,9256,10810,1204,4420
45.48502852355845,9.223228462086409,Città Studi,45.48881628757598,9.181301895683704,Farini,April,Thursday,22,4679,4982,670,2533
45.495033470766884,9.141867365937284,Boldinasco,45.49717831872024,9.134807453840331,Garegnano,January,Sunday,23,902,706,169,734
45.45339960208057,9.256900898019117,Taliedo,45.474863003521705,9.151098611934906,De Angeli - Monte Rosa,February,Monday,5,31146,10495,1386,5155
45.50458414900434,9.244150194191347,Padova,45.45743155106963,9.214144472293055,XXII Marzo,March,Saturday,3,11516,9942,888,4966
45.46843061891818,9.124216267827919,Quarto Cagnino,45.505047271554616,9.20683354503774,Segnano,May,Sunday,4,9793,13906,1313,6685
45.472224982624326,9.142108226647947,Selinunte,45.43141545355348,9.142210707054847,Ronchetto Sul Naviglio,April,Tuesday,5,6157,5950,701,3606
45.44960953419443,9.21079762150894,Porta Romana,45.50053578090597,9.244801189934744,Cimiano,March,Thursday,23,12234,10876,972,3741
45.50985053153294,9.21516305611364,Segnano,45.513891640530424,9.219065575398433,Precotto,October,Friday,8,938,823,165,679
45.47253391005756,9.248676865917187,Ortica,45.492364303243754,9.200714492415095,Maciachini - Maggiolina,June,Saturday,0,6210,6453,815,3762
45.515523021997744,9.227087151023625,Precotto,45.502254608777534,9.124427341713481,Garegnano,April,Thursday,7,13045,17049,1895,3250
45.449181450798875,9.191571726475487,Vigentina,45.437875015030706,9.226607691782965,Corvetto,November,Friday,4,4185,3836,564,3165
45.493287331654614,9.183954171429635,Isola,45.42395218194653,9.23062240221676,Parco della Vettabbia,December,Monday,15,10635,11726,1753,3667
45.48969912085968,9.24152262399256,Rottole,45.45807281182493,9.200809693827468,Guastalla,July,Wednesday,19,8150,8534,1120,2632
45.50969235736272,9.22239567151882,Precotto,45.476763206833226,9.139289733200183,Selinunte,April,Friday,19,10510,10949,1653,2503
45.46910998181806,9.118652623586216,Quarto Cagnino,45.46424502283574,9.252566712698826,Cascina Casanova,June,Sunday,23,14091,18281,1701,5524
45.48885328420703,9.244081739997707,Lambrate,45.491686913162056,9.256736449002208,San Gregorio,March,Thursday,6,3258,2246,480,2950
45.43300686908734,9.229183038009081,Nosedo,45.43708374639955,9.173972919937366,Stadera,October,Monday,1,5826,6592,805,5202
